feature_id	prevalence	total_counts	max_in_one_sample	taxon
ref_mOTU_v31_06108	3	6.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; m__ref_mOTU_v31_06108
meta_mOTU_v31_13012	3	5.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13012
ref_mOTU_v31_00861	3	5.0	3.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__ref_mOTU_v31_00861
meta_mOTU_v31_12707	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12707
ref_mOTU_v31_00340	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; m__ref_mOTU_v31_00340
ref_mOTU_v31_00800	3	4.0	2.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; m__ref_mOTU_v31_00800
ref_mOTU_v31_00860	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__ref_mOTU_v31_00860
ref_mOTU_v31_03342	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_03342
ref_mOTU_v31_03659	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_03659
ref_mOTU_v31_03660	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_03660
ref_mOTU_v31_03680	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_03680
ref_mOTU_v31_03687	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Intestinibacter; m__ref_mOTU_v31_03687
ref_mOTU_v31_05139	3	4.0	2.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_05139
ext_mOTU_v31_17786	3	3.0	1.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__; m__ext_mOTU_v31_17786
meta_mOTU_v31_12356	3	3.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12356
ref_mOTU_v31_01348	3	3.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; m__ref_mOTU_v31_01348
ref_mOTU_v31_03432	3	3.0	1.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Megasphaera; m__ref_mOTU_v31_03432
