feature_id	prevalence	total_counts	max_in_one_sample	taxon
ext_mOTU_v31_18249	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ext_mOTU_v31_18249
ext_mOTU_v31_19618	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_19618
ext_mOTU_v31_25009	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ext_mOTU_v31_25009
ext_mOTU_v31_26815	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; m__ext_mOTU_v31_26815
ext_mOTU_v31_27106	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__ext_mOTU_v31_27106
ext_mOTU_v31_27183	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; m__ext_mOTU_v31_27183
ext_mOTU_v31_27192	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ext_mOTU_v31_27192
ext_mOTU_v31_27443	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; m__ext_mOTU_v31_27443
ext_mOTU_v31_33921	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__ext_mOTU_v31_33921
meta_mOTU_v31_12239	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; m__meta_mOTU_v31_12239
meta_mOTU_v31_12252	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12252
meta_mOTU_v31_12260	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__meta_mOTU_v31_12260
meta_mOTU_v31_12336	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Butyricicoccus; m__meta_mOTU_v31_12336
meta_mOTU_v31_12361	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12361
meta_mOTU_v31_12362	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__meta_mOTU_v31_12362
meta_mOTU_v31_12445	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12445
meta_mOTU_v31_12470	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12470
meta_mOTU_v31_12521	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12521
meta_mOTU_v31_12556	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12556
meta_mOTU_v31_12570	1	1.0	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__; g__; m__meta_mOTU_v31_12570
meta_mOTU_v31_12614	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12614
meta_mOTU_v31_12631	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12631
meta_mOTU_v31_12640	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12640
meta_mOTU_v31_12641	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_12641
meta_mOTU_v31_12701	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_12701
meta_mOTU_v31_12755	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12755
meta_mOTU_v31_12775	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; m__meta_mOTU_v31_12775
meta_mOTU_v31_12852	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__meta_mOTU_v31_12852
meta_mOTU_v31_12873	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_12873
meta_mOTU_v31_12923	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__meta_mOTU_v31_12923
meta_mOTU_v31_12983	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; m__meta_mOTU_v31_12983
meta_mOTU_v31_13140	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13140
meta_mOTU_v31_13196	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__meta_mOTU_v31_13196
meta_mOTU_v31_13392	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13392
meta_mOTU_v31_13572	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13572
meta_mOTU_v31_13819	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13819
meta_mOTU_v31_13829	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__; g__; m__meta_mOTU_v31_13829
meta_mOTU_v31_13858	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__meta_mOTU_v31_13858
meta_mOTU_v31_13874	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__; m__meta_mOTU_v31_13874
meta_mOTU_v31_13923	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_13923
meta_mOTU_v31_14015	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; m__meta_mOTU_v31_14015
meta_mOTU_v31_14383	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; m__meta_mOTU_v31_14383
ref_mOTU_v31_00301	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; m__ref_mOTU_v31_00301
ref_mOTU_v31_00321	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; m__ref_mOTU_v31_00321
ref_mOTU_v31_00322	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; m__ref_mOTU_v31_00322
ref_mOTU_v31_00719	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Eggerthella; m__ref_mOTU_v31_00719
ref_mOTU_v31_00721	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Clostridioides; m__ref_mOTU_v31_00721
ref_mOTU_v31_00856	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Anaerostipes; m__ref_mOTU_v31_00856
ref_mOTU_v31_00859	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__ref_mOTU_v31_00859
ref_mOTU_v31_01014	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; m__ref_mOTU_v31_01014
ref_mOTU_v31_01061	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dielma; m__ref_mOTU_v31_01061
ref_mOTU_v31_01595	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ref_mOTU_v31_01595
ref_mOTU_v31_01958	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Slackia; m__ref_mOTU_v31_01958
ref_mOTU_v31_02114	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Alloscardovia; m__ref_mOTU_v31_02114
ref_mOTU_v31_02158	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Butyricicoccus; m__ref_mOTU_v31_02158
ref_mOTU_v31_02161	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae; g__Butyricimonas; m__ref_mOTU_v31_02161
ref_mOTU_v31_02373	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ref_mOTU_v31_02373
ref_mOTU_v31_02384	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; m__ref_mOTU_v31_02384
ref_mOTU_v31_02391	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; m__ref_mOTU_v31_02391
ref_mOTU_v31_02700	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; m__ref_mOTU_v31_02700
ref_mOTU_v31_02703	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; m__ref_mOTU_v31_02703
ref_mOTU_v31_02743	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Firmicutes class [Clostridia/Erysipelotrichia]; o__Firmicutes order [Clostridiales/Erysipelotrichales]; f__Firmicutes fam. [Erysipelotrichaceae/Peptostreptococcaceae]; g__Firmicutes gen. [Erysipelatoclostridium/Clostridioides]; m__ref_mOTU_v31_02743
ref_mOTU_v31_02809	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_02809
ref_mOTU_v31_03446	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Eisenbergiella; m__ref_mOTU_v31_03446
ref_mOTU_v31_03476	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_03476
ref_mOTU_v31_03597	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_03597
ref_mOTU_v31_03621	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_03621
ref_mOTU_v31_03650	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__ref_mOTU_v31_03650
ref_mOTU_v31_03662	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_03662
ref_mOTU_v31_03670	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; m__ref_mOTU_v31_03670
ref_mOTU_v31_03672	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; m__ref_mOTU_v31_03672
ref_mOTU_v31_03681	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; m__ref_mOTU_v31_03681
ref_mOTU_v31_03689	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Tyzzerella; m__ref_mOTU_v31_03689
ref_mOTU_v31_03702	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; m__ref_mOTU_v31_03702
ref_mOTU_v31_03901	1	1.0	1.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter; m__ref_mOTU_v31_03901
ref_mOTU_v31_04085	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; m__ref_mOTU_v31_04085
ref_mOTU_v31_04535	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; m__ref_mOTU_v31_04535
ref_mOTU_v31_04652	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnoclostridium; m__ref_mOTU_v31_04652
ref_mOTU_v31_05236	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Phocea; m__ref_mOTU_v31_05236
ref_mOTU_v31_06131	1	1.0	1.0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mycoplasmatales; f__Mycoplasmataceae; g__Ureaplasma; m__ref_mOTU_v31_06131
ref_mOTU_v31_06307	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; m__ref_mOTU_v31_06307
ref_mOTU_v31_07613	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; m__ref_mOTU_v31_07613
ref_mOTU_v31_07664	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Cryptobacterium; m__ref_mOTU_v31_07664
ref_mOTU_v31_07668	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; m__ref_mOTU_v31_07668
ref_mOTU_v31_07679	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Eubacterium; m__ref_mOTU_v31_07679
ref_mOTU_v31_07726	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__; o__; f__; g__; m__ref_mOTU_v31_07726
ref_mOTU_v31_11181	1	1.0	1.0	k__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelatoclostridium; m__ref_mOTU_v31_11181
ref_mOTU_v31_11279	1	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; m__ref_mOTU_v31_11279
ref_mOTU_v31_11862	1	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; m__ref_mOTU_v31_11862
